time,value
2022-08-16 23:44:45,46.0
2022-08-16 23:45:44,59.0
2022-08-16 23:46:44,58.0
2022-08-16 23:47:44,42.0
2022-08-16 23:48:44,50.0
2022-08-16 23:49:44,52.0
2022-08-16 23:50:45,55.0
2022-08-16 23:51:45,58.0
2022-08-16 23:52:45,55.0
2022-08-16 23:53:45,53.0
2022-08-16 23:54:44,42.0
2022-08-16 23:55:45,55.0
2022-08-16 23:56:45,49.0
2022-08-16 23:57:45,57.0
2022-08-16 23:58:45,44.0
2022-08-16 23:59:44,44.0
2022-08-17 00:00:46,49.0
2022-08-17 00:01:44,54.0
2022-08-17 00:02:45,54.0
2022-08-17 00:03:45,57.0
2022-08-17 00:04:45,49.0
2022-08-17 00:05:45,49.0
2022-08-17 00:06:45,41.0
2022-08-17 00:07:45,58.0
2022-08-17 00:08:45,59.0
2022-08-17 00:09:45,54.0
2022-08-17 00:10:45,58.0
2022-08-17 00:11:45,60.0
2022-08-17 00:12:46,50.0
2022-08-17 00:13:45,50.0
2022-08-17 00:14:45,53.0
2022-08-17 00:15:44,54.0
2022-08-17 00:16:45,46.0
2022-08-17 00:17:45,49.0
2022-08-17 00:18:45,56.0
2022-08-17 00:19:45,62.0
2022-08-17 00:20:45,56.0
2022-08-17 00:21:44,55.0
2022-08-17 00:22:45,51.0
2022-08-17 00:23:44,58.0
2022-08-17 00:24:45,47.0
2022-08-17 00:25:45,62.0
2022-08-17 00:26:45,64.0
2022-08-17 00:27:45,41.0
2022-08-17 00:28:45,65.0
2022-08-17 00:29:45,31.0
2022-08-17 00:30:45,62.0
2022-08-17 00:31:45,64.0
2022-08-17 00:32:45,56.0
2022-08-17 00:33:44,73.0
2022-08-17 00:34:44,49.0
2022-08-17 00:35:45,54.0
2022-08-17 00:36:45,44.0
2022-08-17 00:37:45,63.0
2022-08-17 00:38:44,65.0
2022-08-17 00:39:45,72.0
2022-08-17 00:40:45,62.0
2022-08-17 00:41:45,60.0
2022-08-17 00:42:45,44.0
2022-08-17 00:43:45,63.0
2022-08-17 00:44:45,61.0
2022-08-17 00:45:45,61.0
2022-08-17 00:46:45,58.0
2022-08-17 00:47:45,61.0
2022-08-17 00:48:45,56.0
2022-08-17 00:49:45,51.0
2022-08-17 00:50:46,68.0
2022-08-17 00:51:45,53.0
2022-08-17 00:52:44,49.0
2022-08-17 00:53:45,65.0
2022-08-17 00:54:44,53.0
2022-08-17 00:55:45,67.0
2022-08-17 00:56:44,57.0
2022-08-17 00:57:45,62.0
2022-08-17 00:58:45,48.0
2022-08-17 00:59:44,47.0
2022-08-17 01:00:45,53.0
2022-08-17 01:01:45,56.0
2022-08-17 01:02:44,65.0
2022-08-17 01:03:45,57.0
2022-08-17 01:04:44,47.0
2022-08-17 01:05:45,50.0
2022-08-17 01:06:45,52.0
2022-08-17 01:07:45,49.0
2022-08-17 01:08:45,53.0
2022-08-17 01:09:44,47.0
2022-08-17 01:10:45,50.0
2022-08-17 01:11:45,50.0
2022-08-17 01:12:45,37.0
2022-08-17 01:13:45,49.0
2022-08-17 01:14:44,53.0
2022-08-17 01:15:44,54.0
2022-08-17 01:16:45,53.0
2022-08-17 01:17:45,69.0
2022-08-17 01:18:45,49.0
2022-08-17 01:19:45,53.0
2022-08-17 01:20:46,57.0
2022-08-17 01:21:45,48.0
2022-08-17 01:22:45,58.0
2022-08-17 01:23:45,62.0
2022-08-17 01:24:45,56.0
2022-08-17 01:25:44,70.0
2022-08-17 01:26:45,53.0
2022-08-17 01:27:45,56.0
2022-08-17 01:28:45,33.0
2022-08-17 01:29:45,56.0
2022-08-17 01:30:45,74.0
2022-08-17 01:31:45,47.0
2022-08-17 01:32:45,63.0
2022-08-17 01:33:45,60.0
2022-08-17 01:34:44,47.0
2022-08-17 01:35:44,36.0
2022-08-17 01:36:45,44.0
2022-08-17 01:37:45,50.0
2022-08-17 01:38:45,39.0
2022-08-17 01:39:44,46.0
2022-08-17 01:40:45,56.0
2022-08-17 01:41:45,55.0
2022-08-17 01:42:46,51.0
2022-08-17 01:43:45,54.0
2022-08-17 01:44:45,50.0
2022-08-17 01:45:44,59.0
2022-08-17 01:46:44,55.0
2022-08-17 01:47:44,53.0
2022-08-17 01:48:45,51.0
2022-08-17 01:49:44,51.0
2022-08-17 01:50:45,49.0
2022-08-17 01:51:44,45.0
2022-08-17 01:52:45,62.0
2022-08-17 01:53:44,42.0
2022-08-17 01:54:45,51.0
2022-08-17 01:55:44,49.0
2022-08-17 01:56:44,57.0
2022-08-17 01:57:45,55.0
2022-08-17 01:58:44,53.0
2022-08-17 01:59:44,46.0
